Brand,Model Name,Processor,Operating System,Storage,RAM,Screen Size,Touch_Screen,Price
ASUS,X1502ZA-EJ515WS,Core i5,Windows 11 Home,1 TB,8 GB,39.62 cm (15.6 Inch),No,47990
HP,15-eg3079TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,66990
HP,15s-fy5002TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,49990
ASUS,G513RC-HN061W,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,77990
ASUS,TN3402QA-LZ740WS,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,35.56 cm (14 Inch),Yes,64990
HP,15s- eq2144au,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,43490
HP,14-EC1019AU,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),No,54990
HP,15s-fq5202TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,53990
ASUS,E1504FA-LK521WS,Ryzen 5 Quad Core,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,45990
ASUS,E1404GA-NK322WS,Core i3,Windows 11 Home,512 GB,8 GB,35.56 cm (14 Inch),No,35990
Infinix,INBook Y2 Plus,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,34990
HP,15-fe0027TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),Yes,88690
HP,15s-fq5007TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,38990
HP,15s-fy5003TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,37990
Acer,A514-56GM,Core i5,Windows 11 Home,512 GB,16 GB,35.56 cm (14 Inch),No,56990
Acer,AN515-58,Core i7,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,86990
HP,15s- fr4000TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,46990
HP,15s- fr5011TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,53990
MSI,Modern 14 C11M-030IN,Core i5,Windows 11 Home,512 GB,8 GB,35.56 cm (14 Inch),No,36990
ASUS,Vivobook 16X,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,40.64 cm (16 inch),No,57390
Infinix,XL30,Celeron Quad Core,Windows 11 Home,512 GB,8 GB,39.01 cm (15.36 inch),No,23990
HP,14-EC1019AU,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),No,54990
HP,14-dv2153TU,Core i5,Windows 11 Home,1 TB,16 GB,35.56 cm (14 inch),No,66999
HP,15s-fy5002TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,49990
DELL,Inspiron 3511,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,45990
ASUS,X515EA-EJ312W,Core i3,Windows 11 Home,2 TB,8 GB,39.62 cm (15.6 Inch),No,27990
ASUS,G513RC-HN061W,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,77990
HP,15-eg3079TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,66990
HP,15s- eq1580AU,Ryzen 3 Dual Core,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,30999
HP,15-fb0131AX,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,58800
HP,14s - dy2508TU,Core i3,Windows 11 Home,512 GB,8 GB,35.56 cm (14 inch),No,43349
HP,15-fd0011TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,60490
HP,14c-cc0010TU,Core i5,Chrome,256 GB,8 GB,35.56 cm (14 inch),No,62990
HP,15s-fy5003TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,37990
HP,15s- fr4000TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,46990
Lenovo,15ITL05,Core i3,Windows 11 Home,,8 GB,39.62 cm (15.6 Inch),No,32990
MSI,Modern 14 C7M-062IN,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,35.56 cm (14 Inch),No,37990
HP,15s-ey1509AU,Athlon Dual Core,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,30690
